Fold,Accuracy,F1-score
1,0.17073170731707318,0.04979674796747968
2,0.1951219512195122,0.06371329019412643
3,0.21951219512195122,0.07902439024390244
4,0.21951219512195122,0.07902439024390244
5,0.21951219512195122,0.07902439024390244
